instance,LEGOS
1,0.02
2,0.04
3,0.07
4,0.09
5,0.12
6,0.15
7,0.17
8,0.20
9,0.23
10,0.26
11,0.29
12,0.33
13,0.38
14,0.43
15,0.48
16,0.53
17,0.58
18,0.63
19,0.68
20,0.73
21,0.78
22,0.84
23,0.89
24,0.95
25,1.01
26,1.07
27,1.13
28,1.20
29,1.27
30,1.33
31,1.41
32,1.48
33,1.56
34,1.65
35,1.74
36,1.83
37,1.93
38,2.03
39,2.13
40,2.22
41,2.32
42,2.42
43,2.52
44,2.62
45,2.72
46,2.82
47,2.92
48,3.02
49,3.12
50,3.23
51,3.33
52,3.43
53,3.53
54,3.64
55,3.74
56,3.84
57,3.95
58,4.05
59,4.16
60,4.26
61,4.37
62,4.47
63,4.58
64,4.69
65,4.79
66,4.90
67,5.01
68,5.11
69,5.22
70,5.33
71,5.44
72,5.55
73,5.66
74,5.77
75,5.89
76,6.00
77,6.11
78,6.22
79,6.34
80,6.46
81,6.57
82,6.69
83,6.81
84,6.93
85,7.05
86,7.16
87,7.28
88,7.40
89,7.52
90,7.64
91,7.76
92,7.88
93,8.01
94,8.13
95,8.25
96,8.37
97,8.49
98,8.62
99,8.74
100,8.87
101,8.99
102,9.11
103,9.24
104,9.36
105,9.49
106,9.62
107,9.74
108,9.87
109,10.00
110,10.13
111,10.26
112,10.39
113,10.52
114,10.65
115,10.78
116,10.91
117,11.05
118,11.18
119,11.31
120,11.45
121,11.58
122,11.71
123,11.85
124,11.98
125,12.12
126,12.25
127,12.39
128,12.53
129,12.67
130,12.81
131,12.95
132,13.09
133,13.24
134,13.38
135,13.52
136,13.66
137,13.80
138,13.95
139,14.09
140,14.23
141,14.38
142,14.52
143,14.66
144,14.81
145,14.95
146,15.09
147,15.24
148,15.38
149,15.53
150,15.67
151,15.82
152,15.96
153,16.11
154,16.26
155,16.40
156,16.55
157,16.70
158,16.85
159,17.00
160,17.15
161,17.30
162,17.45
163,17.60
164,17.75
165,17.90
166,18.05
167,18.20
168,18.35
169,18.51
170,18.66
