instance,cvc5 set.some/set.all
1.00,0.0104
2.00,0.0210
3.00,0.0319
4.00,0.0465
5.00,0.0612
6.00,0.0782
7.00,0.0957
8.00,0.1138
9.00,0.1323
10.00,0.1510
11.00,0.1699
12.00,0.1895
13.00,0.2092
14.00,0.2296
15.00,0.2500
16.00,0.2705
17.00,0.2914
18.00,0.3124
19.00,0.3335
20.00,0.3546
21.00,0.3758
22.00,0.3970
23.00,0.4183
24.00,0.4403
25.00,0.4623
26.00,0.4847
27.00,0.5074
28.00,0.5324
29.00,0.5576
30.00,0.5829
31.00,0.6085
32.00,0.6347
33.00,0.6618
34.00,0.6909
35.00,0.7202
36.00,0.7500
37.00,0.7799
38.00,0.8100
39.00,0.8404
40.00,0.8710
41.00,0.9020
42.00,0.9335
43.00,0.9658
44.00,0.9986
45.00,1.0316
46.00,1.0649
47.00,1.0985
48.00,1.1323
49.00,1.1661
50.00,1.2002
51.00,1.2348
52.00,1.2695
53.00,1.3043
54.00,1.3392
55.00,1.3742
56.00,1.4102
57.00,1.4463
58.00,1.4834
59.00,1.5209
60.00,1.5590
61.00,1.5981
62.00,1.6372
63.00,1.6765
64.00,1.7163
65.00,1.7565
66.00,1.7969
67.00,1.8375
68.00,1.8782
69.00,1.9200
70.00,1.9622
71.00,2.0047
72.00,2.0473
73.00,2.0907
74.00,2.1343
75.00,2.1784
76.00,2.2230
77.00,2.2686
78.00,2.3143
79.00,2.3601
80.00,2.4062
81.00,2.4529
82.00,2.5005
83.00,2.5487
84.00,2.5969
85.00,2.6462
86.00,2.6956
87.00,2.7455
88.00,2.7955
89.00,2.8457
90.00,2.8961
91.00,2.9464
92.00,2.9969
93.00,3.0474
94.00,3.0979
95.00,3.1488
96.00,3.1997
97.00,3.2508
98.00,3.3020
99.00,3.3533
100.00,3.4048
101.00,3.4564
102.00,3.5080
103.00,3.5598
104.00,3.6116
105.00,3.6636
106.00,3.7155
107.00,3.7675
108.00,3.8196
109.00,3.8717
110.00,3.9239
111.00,3.9763
112.00,4.0290
113.00,4.0818
114.00,4.1347
115.00,4.1876
116.00,4.2406
117.00,4.2937
118.00,4.3468
119.00,4.4001
120.00,4.4534
121.00,4.5068
122.00,4.5605
123.00,4.6142
124.00,4.6680
125.00,4.7220
126.00,4.7764
127.00,4.8310
128.00,4.8859
129.00,4.9409
130.00,4.9958
131.00,5.0510
132.00,5.1061
133.00,5.1615
134.00,5.2169
135.00,5.2724
136.00,5.3280
137.00,5.3837
138.00,5.4394
139.00,5.4952
140.00,5.5510
141.00,5.6072
142.00,5.6635
143.00,5.7198
144.00,5.7762
145.00,5.8328
146.00,5.8894
147.00,5.9461
148.00,6.0028
149.00,6.0598
150.00,6.1168
151.00,6.1738
152.00,6.2308
153.00,6.2880
154.00,6.3451
155.00,6.4024
156.00,6.4597
157.00,6.5171
158.00,6.5745
159.00,6.6320
160.00,6.6896
161.00,6.7474
162.00,6.8056
163.00,6.8637
164.00,6.9219
165.00,6.9802
166.00,7.0384
167.00,7.0968
168.00,7.1553
169.00,7.2138
170.00,7.2724
171.00,7.3310
172.00,7.3896
173.00,7.4484
174.00,7.5072
175.00,7.5662
176.00,7.6252
177.00,7.6842
178.00,7.7434
179.00,7.8025
180.00,7.8619
181.00,7.9213
182.00,7.9809
183.00,8.0406
184.00,8.1004
185.00,8.1602
186.00,8.2201
187.00,8.2799
188.00,8.3399
189.00,8.3998
190.00,8.4599
191.00,8.5200
192.00,8.5802
193.00,8.6405
194.00,8.7008
195.00,8.7611
196.00,8.8216
197.00,8.8821
198.00,8.9428
199.00,9.0037
200.00,9.0647
201.00,9.1256
202.00,9.1867
203.00,9.2478
204.00,9.3091
205.00,9.3705
206.00,9.4319
207.00,9.4934
208.00,9.5549
209.00,9.6165
210.00,9.6783
211.00,9.7401
212.00,9.8022
213.00,9.8644
214.00,9.9266
215.00,9.9889
216.00,10.0515
217.00,10.1142
218.00,10.1770
219.00,10.2402
220.00,10.3035
221.00,10.3669
222.00,10.4305
223.00,10.4942
224.00,10.5581
225.00,10.6220
226.00,10.6859
227.00,10.7499
228.00,10.8146
229.00,10.8794
230.00,10.9447
231.00,11.0100
232.00,11.0755
233.00,11.1412
234.00,11.2071
235.00,11.2731
236.00,11.3396
237.00,11.4061
238.00,11.4727
239.00,11.5393
240.00,11.6059
241.00,11.6726
242.00,11.7393
243.00,11.8063
244.00,11.8734
245.00,11.9405
246.00,12.0080
247.00,12.0757
248.00,12.1435
249.00,12.2116
250.00,12.2798
251.00,12.3482
252.00,12.4166
253.00,12.4851
254.00,12.5537
255.00,12.6224
256.00,12.6915
257.00,12.7607
258.00,12.8304
259.00,12.9002
260.00,12.9701
261.00,13.0401
262.00,13.1103
263.00,13.1805
264.00,13.2508
265.00,13.3212
266.00,13.3917
267.00,13.4623
268.00,13.5330
269.00,13.6040
270.00,13.6749
271.00,13.7460
272.00,13.8171
273.00,13.8883
274.00,13.9596
275.00,14.0310
276.00,14.1028
277.00,14.1748
278.00,14.2471
279.00,14.3193
280.00,14.3918
281.00,14.4644
282.00,14.5372
283.00,14.6100
284.00,14.6830
285.00,14.7560
286.00,14.8290
287.00,14.9023
288.00,14.9757
289.00,15.0491
290.00,15.1226
291.00,15.1961
292.00,15.2697
293.00,15.3433
294.00,15.4172
295.00,15.4911
296.00,15.5651
297.00,15.6391
298.00,15.7132
299.00,15.7877
300.00,15.8624
301.00,15.9372
302.00,16.0120
303.00,16.0869
304.00,16.1620
305.00,16.2373
306.00,16.3132
307.00,16.3896
308.00,16.4662
309.00,16.5432
310.00,16.6204
311.00,16.6975
312.00,16.7747
313.00,16.8519
314.00,16.9293
315.00,17.0069
316.00,17.0846
317.00,17.1627
318.00,17.2410
319.00,17.3196
320.00,17.3982
321.00,17.4769
322.00,17.5561
323.00,17.6354
324.00,17.7148
325.00,17.7944
326.00,17.8741
327.00,17.9538
328.00,18.0338
329.00,18.1140
330.00,18.1948
331.00,18.2765
332.00,18.3594
333.00,18.4425
334.00,18.5257
335.00,18.6089
336.00,18.6922
337.00,18.7758
338.00,18.8596
339.00,18.9435
340.00,19.0274
341.00,19.1114
342.00,19.1956
343.00,19.2804
344.00,19.3653
345.00,19.4502
346.00,19.5354
347.00,19.6207
348.00,19.7060
349.00,19.7914
350.00,19.8769
351.00,19.9626
352.00,20.0483
353.00,20.1341
354.00,20.2201
355.00,20.3064
356.00,20.3928
357.00,20.4792
358.00,20.5659
359.00,20.6528
360.00,20.7397
361.00,20.8267
362.00,20.9137
363.00,21.0008
364.00,21.0880
365.00,21.1753
366.00,21.2626
367.00,21.3501
368.00,21.4375
369.00,21.5254
370.00,21.6134
371.00,21.7016
372.00,21.7899
373.00,21.8785
374.00,21.9671
375.00,22.0559
376.00,22.1448
377.00,22.2340
378.00,22.3233
379.00,22.4127
380.00,22.5020
381.00,22.5916
382.00,22.6812
383.00,22.7708
384.00,22.8605
385.00,22.9507
386.00,23.0409
387.00,23.1312
388.00,23.2214
389.00,23.3120
390.00,23.4029
391.00,23.4939
392.00,23.5851
393.00,23.6762
394.00,23.7674
395.00,23.8588
396.00,23.9502
397.00,24.0417
398.00,24.1333
399.00,24.2249
400.00,24.3167
401.00,24.4084
402.00,24.5004
403.00,24.5925
404.00,24.6845
405.00,24.7767
406.00,24.8689
407.00,24.9612
408.00,25.0535
409.00,25.1459
410.00,25.2384
411.00,25.3310
412.00,25.4239
413.00,25.5168
414.00,25.6098
415.00,25.7032
416.00,25.7971
417.00,25.8910
418.00,25.9856
419.00,26.0802
420.00,26.1749
421.00,26.2696
422.00,26.3644
423.00,26.4593
424.00,26.5543
425.00,26.6493
426.00,26.7446
427.00,26.8399
428.00,26.9353
429.00,27.0308
430.00,27.1264
431.00,27.2221
432.00,27.3179
433.00,27.4137
434.00,27.5096
435.00,27.6056
436.00,27.7022
437.00,27.7988
438.00,27.8955
439.00,27.9924
440.00,28.0897
441.00,28.1871
442.00,28.2847
443.00,28.3823
444.00,28.4803
445.00,28.5785
446.00,28.6767
447.00,28.7750
448.00,28.8734
449.00,28.9721
450.00,29.0708
451.00,29.1698
452.00,29.2688
453.00,29.3681
454.00,29.4674
455.00,29.5669
456.00,29.6665
457.00,29.7664
458.00,29.8664
459.00,29.9664
460.00,30.0667
461.00,30.1670
462.00,30.2677
463.00,30.3685
464.00,30.4695
465.00,30.5707
466.00,30.6725
467.00,30.7743
468.00,30.8765
469.00,30.9788
470.00,31.0813
471.00,31.1843
472.00,31.2875
473.00,31.3906
474.00,31.4939
475.00,31.5972
476.00,31.7005
477.00,31.8041
478.00,31.9077
479.00,32.0115
480.00,32.1157
481.00,32.2201
482.00,32.3246
483.00,32.4294
484.00,32.5342
485.00,32.6392
486.00,32.7444
487.00,32.8495
488.00,32.9547
489.00,33.0602
490.00,33.1657
491.00,33.2716
492.00,33.3775
493.00,33.4835
494.00,33.5899
495.00,33.6965
496.00,33.8033
497.00,33.9106
498.00,34.0180
499.00,34.1254
500.00,34.2330
501.00,34.3406
502.00,34.4483
503.00,34.5560
504.00,34.6637
505.00,34.7716
506.00,34.8795
507.00,34.9877
508.00,35.0961
509.00,35.2047
510.00,35.3133
511.00,35.4220
512.00,35.5308
513.00,35.6396
514.00,35.7486
515.00,35.8578
516.00,35.9671
517.00,36.0765
518.00,36.1859
519.00,36.2953
520.00,36.4050
521.00,36.5147
522.00,36.6247
523.00,36.7349
524.00,36.8452
525.00,36.9555
526.00,37.0659
527.00,37.1764
528.00,37.2870
529.00,37.3980
530.00,37.5090
531.00,37.6201
532.00,37.7314
533.00,37.8428
534.00,37.9546
535.00,38.0664
536.00,38.1783
537.00,38.2904
538.00,38.4024
539.00,38.5145
540.00,38.6267
541.00,38.7389
542.00,38.8510
543.00,38.9633
544.00,39.0756
545.00,39.1884
546.00,39.3011
547.00,39.4140
548.00,39.5269
549.00,39.6398
550.00,39.7528
551.00,39.8658
552.00,39.9789
553.00,40.0924
554.00,40.2059
555.00,40.3195
556.00,40.4331
557.00,40.5467
558.00,40.6604
559.00,40.7742
560.00,40.8880
561.00,41.0018
562.00,41.1158
563.00,41.2300
564.00,41.3441
565.00,41.4583
566.00,41.5725
567.00,41.6868
568.00,41.8012
569.00,41.9157
570.00,42.0304
571.00,42.1452
572.00,42.2600
573.00,42.3753
574.00,42.4909
575.00,42.6069
576.00,42.7230
577.00,42.8391
578.00,42.9554
579.00,43.0717
580.00,43.1881
581.00,43.3046
582.00,43.4212
583.00,43.5379
584.00,43.6547
585.00,43.7716
586.00,43.8887
587.00,44.0059
588.00,44.1230
589.00,44.2402
590.00,44.3576
591.00,44.4751
592.00,44.5928
593.00,44.7108
594.00,44.8295
595.00,44.9484
596.00,45.0674
597.00,45.1865
598.00,45.3058
599.00,45.4253
600.00,45.5450
601.00,45.6647
602.00,45.7845
603.00,45.9044
604.00,46.0245
605.00,46.1450
606.00,46.2655
607.00,46.3865
608.00,46.5080
609.00,46.6295
610.00,46.7511
611.00,46.8730
612.00,46.9950
613.00,47.1173
614.00,47.2397
615.00,47.3622
616.00,47.4850
617.00,47.6080
618.00,47.7311
619.00,47.8542
620.00,47.9778
621.00,48.1014
622.00,48.2251
623.00,48.3489
624.00,48.4728
625.00,48.5967
626.00,48.7210
627.00,48.8455
628.00,48.9701
629.00,49.0948
630.00,49.2198
631.00,49.3453
632.00,49.4712
633.00,49.5975
634.00,49.7240
635.00,49.8505
636.00,49.9773
637.00,50.1040
638.00,50.2310
639.00,50.3582
640.00,50.4855
641.00,50.6135
642.00,50.7417
643.00,50.8703
644.00,50.9990
645.00,51.1279
646.00,51.2568
647.00,51.3858
648.00,51.5152
649.00,51.6447
650.00,51.7745
651.00,51.9046
652.00,52.0352
653.00,52.1660
654.00,52.2969
655.00,52.4278
656.00,52.5591
657.00,52.6907
658.00,52.8223
659.00,52.9542
660.00,53.0861
661.00,53.2183
662.00,53.3505
663.00,53.4828
664.00,53.6163
665.00,53.7506
666.00,53.8858
667.00,54.0218
668.00,54.1579
669.00,54.2940
670.00,54.4302
671.00,54.5665
672.00,54.7035
673.00,54.8416
674.00,54.9803
675.00,55.1190
676.00,55.2582
