instance,fmf
1.00,0.01
2.00,0.02
3.00,0.04
4.00,0.05
5.00,0.07
6.00,0.09
7.00,0.11
8.00,0.13
9.00,0.15
10.00,0.18
11.00,0.20
12.00,0.23
13.00,0.26
14.00,0.29
15.00,0.32
16.00,0.35
17.00,0.39
18.00,0.42
19.00,0.45
20.00,0.49
21.00,0.52
22.00,0.56
23.00,0.59
24.00,0.63
25.00,0.67
26.00,0.70
27.00,0.74
28.00,0.78
29.00,0.82
30.00,0.86
31.00,0.90
32.00,0.95
33.00,1.00
34.00,1.05
35.00,1.09
36.00,1.14
37.00,1.19
38.00,1.24
39.00,1.30
40.00,1.35
41.00,1.40
42.00,1.45
43.00,1.50
44.00,1.56
45.00,1.61
46.00,1.66
47.00,1.72
48.00,1.77
49.00,1.83
50.00,1.88
51.00,1.95
52.00,2.02
53.00,2.08
54.00,2.16
55.00,2.24
56.00,2.32
57.00,2.43
58.00,2.54
59.00,2.65
60.00,2.75
61.00,2.86
62.00,2.97
63.00,3.08
64.00,3.20
65.00,3.31
66.00,3.42
67.00,3.53
68.00,3.65
69.00,3.77
70.00,3.88
71.00,4.00
72.00,4.12
73.00,4.24
74.00,4.37
75.00,4.50
76.00,4.63
77.00,4.77
78.00,4.90
79.00,5.04
80.00,5.18
81.00,5.33
82.00,5.48
83.00,5.63
84.00,5.78
85.00,5.93
86.00,6.08
87.00,6.24
88.00,6.40
89.00,6.56
90.00,6.72
91.00,6.89
92.00,7.05
93.00,7.23
94.00,7.41
95.00,7.59
96.00,7.77
97.00,7.96
98.00,8.16
99.00,8.35
100.00,8.55
101.00,8.74
102.00,8.94
103.00,9.15
104.00,9.35
105.00,9.55
106.00,9.76
107.00,9.96
108.00,10.17
109.00,10.38
110.00,10.59
111.00,10.80
112.00,11.01
113.00,11.22
114.00,11.43
115.00,11.64
116.00,11.86
117.00,12.07
118.00,12.29
119.00,12.51
120.00,12.72
121.00,12.94
122.00,13.16
123.00,13.38
124.00,13.61
125.00,13.83
126.00,14.06
127.00,14.29
128.00,14.52
129.00,14.75
130.00,14.98
131.00,15.22
132.00,15.46
133.00,15.69
134.00,15.94
135.00,16.18
136.00,16.43
137.00,16.68
138.00,16.93
139.00,17.19
140.00,17.45
141.00,17.71
142.00,17.98
143.00,18.25
144.00,18.52
145.00,18.80
146.00,19.07
147.00,19.35
148.00,19.63
149.00,19.91
150.00,20.19
151.00,20.47
152.00,20.76
153.00,21.05
154.00,21.33
155.00,21.62
156.00,21.91
157.00,22.20
158.00,22.49
159.00,22.79
160.00,23.08
161.00,23.39
162.00,23.69
163.00,23.99
164.00,24.30
165.00,24.60
166.00,24.91
167.00,25.22
168.00,25.54
169.00,25.86
170.00,26.18
171.00,26.50
172.00,26.83
173.00,27.16
174.00,27.48
175.00,27.81
176.00,28.14
177.00,28.47
178.00,28.80
179.00,29.14
180.00,29.48
181.00,29.82
182.00,30.17
183.00,30.51
184.00,30.85
185.00,31.19
186.00,31.54
187.00,31.88
188.00,32.23
189.00,32.58
190.00,32.93
191.00,33.28
192.00,33.64
193.00,33.99
194.00,34.34
195.00,34.70
196.00,35.06
197.00,35.42
198.00,35.78
199.00,36.15
200.00,36.51
201.00,36.88
202.00,37.24
203.00,37.61
204.00,37.98
205.00,38.35
206.00,38.72
207.00,39.09
208.00,39.46
209.00,39.84
210.00,40.21
211.00,40.60
212.00,40.99
213.00,41.39
214.00,41.80
215.00,42.21
216.00,42.62
217.00,43.03
218.00,43.44
219.00,43.86
220.00,44.27
221.00,44.70
222.00,45.12
223.00,45.55
224.00,45.98
225.00,46.42
226.00,46.85
227.00,47.29
228.00,47.72
229.00,48.16
230.00,48.61
231.00,49.05
232.00,49.49
233.00,49.94
234.00,50.39
235.00,50.83
236.00,51.28
237.00,51.73
238.00,52.18
239.00,52.63
240.00,53.09
241.00,53.55
242.00,54.01
243.00,54.49
244.00,54.96
245.00,55.43
246.00,55.91
247.00,56.39
248.00,56.87
249.00,57.35
250.00,57.83
251.00,58.32
252.00,58.81
253.00,59.31
254.00,59.80
255.00,60.30
256.00,60.79
257.00,61.29
258.00,61.80
259.00,62.31
260.00,62.83
261.00,63.35
262.00,63.87
263.00,64.39
264.00,64.92
265.00,65.45
266.00,65.99
267.00,66.58
268.00,67.18
269.00,67.82
270.00,68.48
271.00,69.15
272.00,69.82
273.00,70.49
274.00,71.17
275.00,71.84
276.00,72.53
277.00,73.21
278.00,73.91
279.00,74.60
280.00,75.29
281.00,75.99
282.00,76.70
283.00,77.40
284.00,78.11
285.00,78.81
286.00,79.52
287.00,80.22
288.00,80.93
289.00,81.64
290.00,82.35
291.00,83.06
292.00,83.77
293.00,84.48
294.00,85.19
295.00,85.91
296.00,86.62
297.00,87.34
298.00,88.06
299.00,88.77
300.00,89.49
301.00,90.21
302.00,90.93
303.00,91.65
304.00,92.37
305.00,93.09
306.00,93.81
307.00,94.53
308.00,95.25
309.00,95.97
310.00,96.69
311.00,97.42
312.00,98.14
313.00,98.86
314.00,99.59
315.00,100.31
316.00,101.03
317.00,101.76
318.00,102.49
319.00,103.21
320.00,103.94
321.00,104.67
322.00,105.40
323.00,106.13
324.00,106.86
325.00,107.59
326.00,108.32
327.00,109.06
328.00,109.79
329.00,110.52
330.00,111.26
331.00,111.99
332.00,112.73
333.00,113.47
334.00,114.20
335.00,114.94
336.00,115.68
337.00,116.42
338.00,117.16
339.00,117.91
340.00,118.65
341.00,119.39
342.00,120.13
343.00,120.88
344.00,121.62
345.00,122.36
346.00,123.11
347.00,123.86
348.00,124.60
349.00,125.35
350.00,126.10
351.00,126.85
352.00,127.60
353.00,128.35
354.00,129.11
355.00,129.86
356.00,130.61
357.00,131.37
358.00,132.12
359.00,132.87
360.00,133.63
361.00,134.39
362.00,135.14
363.00,135.90
364.00,136.66
365.00,137.41
366.00,138.17
367.00,138.93
368.00,139.69
369.00,140.45
370.00,141.21
371.00,141.97
372.00,142.73
373.00,143.49
374.00,144.26
375.00,145.02
376.00,145.78
377.00,146.54
378.00,147.31
379.00,148.07
380.00,148.83
381.00,149.60
382.00,150.36
383.00,151.13
384.00,151.89
385.00,152.66
386.00,153.43
387.00,154.20
388.00,154.97
389.00,155.74
390.00,156.52
391.00,157.30
392.00,158.08
393.00,158.86
394.00,159.65
395.00,160.43
396.00,161.22
397.00,162.03
398.00,162.83
399.00,163.64
400.00,164.45
401.00,165.26
402.00,166.07
403.00,166.88
404.00,167.70
405.00,168.51
406.00,169.33
407.00,170.15
408.00,170.97
409.00,171.79
410.00,172.61
411.00,173.44
412.00,174.27
413.00,175.11
414.00,175.96
415.00,176.89
416.00,177.87
417.00,178.84
418.00,179.93
419.00,181.04
420.00,182.18
421.00,183.31
422.00,184.49
423.00,185.67
424.00,186.87
425.00,188.08
426.00,189.29
427.00,190.64
428.00,192.00
429.00,193.36
430.00,194.74
431.00,196.12
432.00,197.52
433.00,198.91
434.00,200.31
435.00,201.70
436.00,203.10
437.00,204.50
438.00,205.89
439.00,207.29
440.00,208.69
441.00,210.09
442.00,211.50
443.00,212.90
444.00,214.31
445.00,215.72
446.00,217.14
447.00,218.56
448.00,220.00
449.00,221.43
450.00,222.87
451.00,224.31
452.00,225.75
453.00,227.19
454.00,228.64
455.00,230.09
456.00,231.54
457.00,233.00
458.00,234.46
459.00,235.92
460.00,237.39
461.00,238.85
462.00,240.34
463.00,241.86
464.00,243.38
465.00,245.25
466.00,257.44
467.00,271.39
468.00,285.91
469.00,300.66
470.00,315.49
471.00,330.53
472.00,345.63
473.00,360.80
474.00,376.08
475.00,391.67
476.00,410.13
477.00,412.16
478.00,414.20
479.00,416.32
480.00,420.34
481.00,424.40
482.00,428.46
483.00,432.59
484.00,438.52
485.00,444.48
486.00,451.58
487.00,458.89
