instance,z3 predicates
1.00,0.01
2.00,0.02
3.00,0.03
4.00,0.05
5.00,0.07
6.00,0.09
7.00,0.11
8.00,0.13
9.00,0.15
10.00,0.17
11.00,0.19
12.00,0.21
13.00,0.23
14.00,0.25
15.00,0.27
16.00,0.29
17.00,0.31
18.00,0.33
19.00,0.35
20.00,0.37
21.00,0.39
22.00,0.41
23.00,0.43
24.00,0.45
25.00,0.47
26.00,0.49
27.00,0.51
28.00,0.53
29.00,0.55
30.00,0.57
31.00,0.59
32.00,0.61
33.00,0.63
34.00,0.65
35.00,0.67
36.00,0.69
37.00,0.71
38.00,0.73
39.00,0.75
40.00,0.77
41.00,0.79
42.00,0.81
43.00,0.83
44.00,0.85
45.00,0.87
46.00,0.89
47.00,0.91
48.00,0.93
49.00,0.95
50.00,0.97
51.00,0.99
52.00,1.01
53.00,1.03
54.00,1.05
55.00,1.07
56.00,1.09
57.00,1.11
58.00,1.13
59.00,1.15
60.00,1.17
61.00,1.19
62.00,1.21
63.00,1.23
64.00,1.25
65.00,1.27
66.00,1.29
67.00,1.31
68.00,1.33
69.00,1.35
70.00,1.37
71.00,1.39
72.00,1.41
73.00,1.43
74.00,1.45
75.00,1.47
76.00,1.49
77.00,1.51
78.00,1.53
79.00,1.55
80.00,1.58
81.00,1.61
82.00,1.64
83.00,1.67
84.00,1.70
85.00,1.73
86.00,1.76
87.00,1.79
88.00,1.82
89.00,1.85
90.00,1.88
91.00,1.91
92.00,1.94
93.00,1.97
94.00,2.00
95.00,2.03
96.00,2.06
97.00,2.09
98.00,2.12
99.00,2.15
100.00,2.18
101.00,2.21
102.00,2.24
103.00,2.27
104.00,2.30
105.00,2.33
106.00,2.36
107.00,2.39
108.00,2.42
109.00,2.45
110.00,2.48
111.00,2.51
112.00,2.54
113.00,2.57
114.00,2.60
115.00,2.63
116.00,2.66
117.00,2.69
118.00,2.72
119.00,2.75
120.00,2.78
121.00,2.81
122.00,2.84
123.00,2.87
124.00,2.90
125.00,2.93
126.00,2.96
127.00,2.99
128.00,3.02
129.00,3.05
130.00,3.08
131.00,3.11
132.00,3.14
133.00,3.17
134.00,3.20
135.00,3.23
136.00,3.26
137.00,3.29
138.00,3.32
139.00,3.35
140.00,3.38
141.00,3.41
142.00,3.44
143.00,3.47
144.00,3.50
145.00,3.53
146.00,3.56
147.00,3.60
148.00,3.64
149.00,3.68
150.00,3.72
151.00,3.76
152.00,3.80
153.00,3.84
154.00,3.88
155.00,3.92
156.00,3.96
157.00,4.00
158.00,4.04
159.00,4.08
160.00,4.12
161.00,4.16
162.00,4.20
163.00,4.24
164.00,4.28
165.00,4.32
166.00,4.36
167.00,4.41
168.00,4.46
169.00,4.51
170.00,4.56
171.00,4.62
172.00,4.69
173.00,4.76
174.00,4.83
175.00,4.92
176.00,5.02
177.00,5.16
178.00,5.32
179.00,5.50
180.00,5.68
181.00,5.86
182.00,6.05
183.00,6.27
184.00,6.49
185.00,6.74
186.00,6.99
187.00,7.25
188.00,7.52
189.00,7.80
190.00,8.12
191.00,8.44
192.00,8.77
193.00,9.10
194.00,9.43
195.00,9.77
196.00,10.11
197.00,10.46
198.00,10.81
199.00,11.18
200.00,11.56
201.00,11.95
202.00,12.36
203.00,12.78
204.00,13.21
205.00,13.65
206.00,14.11
207.00,14.58
208.00,15.05
209.00,15.53
210.00,16.03
211.00,16.54
212.00,17.06
213.00,17.59
214.00,18.19
215.00,18.79
216.00,19.40
217.00,20.03
218.00,20.67
219.00,21.31
220.00,21.95
221.00,22.60
222.00,23.25
223.00,23.91
224.00,24.57
225.00,25.23
226.00,25.90
227.00,26.58
228.00,27.28
229.00,27.98
230.00,28.73
231.00,29.49
232.00,30.29
233.00,31.10
234.00,31.93
235.00,32.78
236.00,33.64
237.00,34.52
238.00,35.47
239.00,36.43
240.00,37.44
241.00,38.46
242.00,39.51
243.00,40.59
244.00,41.68
245.00,42.81
246.00,43.95
247.00,45.13
248.00,46.33
249.00,47.60
250.00,48.87
251.00,50.15
252.00,51.46
253.00,52.77
254.00,54.09
255.00,55.42
256.00,56.76
257.00,58.11
258.00,59.60
259.00,61.12
260.00,62.66
261.00,64.24
262.00,65.84
263.00,67.45
264.00,69.09
265.00,70.75
266.00,72.45
267.00,74.25
268.00,76.09
269.00,77.95
270.00,79.84
271.00,81.78
272.00,83.76
273.00,85.75
274.00,95.85
275.00,106.05
276.00,117.46
277.00,128.97
278.00,140.53
279.00,152.19
280.00,163.99
281.00,175.86
282.00,187.76
283.00,199.81
284.00,211.89
285.00,224.21
286.00,236.69
287.00,249.46
288.00,262.27
289.00,275.12
290.00,288.13
291.00,301.24
292.00,314.57
293.00,328.08
294.00,341.62
295.00,355.24
296.00,368.96
297.00,382.71
298.00,396.69
299.00,410.99
300.00,425.77
301.00,440.77
302.00,455.95
303.00,471.13
304.00,486.39
305.00,501.82
306.00,517.32
307.00,533.02
308.00,548.74
309.00,564.76
310.00,580.95
311.00,597.43
312.00,614.07
313.00,630.95
314.00,647.83
315.00,664.89
316.00,681.98
317.00,699.45
318.00,717.02
319.00,734.59
320.00,752.19
321.00,770.20
322.00,788.61
323.00,807.89
324.00,827.43
325.00,847.17
326.00,867.11
327.00,869.11
328.00,871.13
329.00,873.19
330.00,875.25
331.00,877.32
332.00,879.41
333.00,881.65
334.00,883.90
335.00,886.16
336.00,888.53
337.00,890.95
338.00,893.49
339.00,896.06
340.00,898.71
341.00,901.40
342.00,904.09
343.00,906.90
344.00,909.73
345.00,912.56
346.00,915.42
347.00,918.44
348.00,921.50
349.00,924.58
350.00,927.77
351.00,930.98
352.00,934.19
353.00,937.45
354.00,940.79
355.00,944.14
356.00,947.49
357.00,950.94
358.00,954.48
359.00,958.04
360.00,961.64
361.00,965.24
362.00,968.85
363.00,972.50
364.00,976.18
365.00,979.87
366.00,983.61
367.00,987.39
368.00,991.18
369.00,995.01
370.00,998.90
371.00,1002.84
372.00,1006.90
373.00,1011.00
374.00,1015.21
375.00,1019.42
376.00,1023.63
377.00,1027.94
378.00,1032.26
379.00,1036.59
380.00,1040.95
381.00,1045.31
382.00,1049.77
383.00,1054.31
384.00,1059.00
385.00,1063.74
386.00,1068.53
387.00,1073.39
388.00,1078.32
389.00,1083.28
390.00,1088.26
391.00,1093.25
392.00,1098.28
393.00,1103.56
394.00,1108.89
395.00,1114.37
396.00,1119.87
397.00,1125.39
398.00,1131.04
399.00,1136.89
400.00,1142.89
401.00,1148.92
402.00,1155.06
403.00,1161.43
404.00,1167.83
405.00,1174.24
406.00,1180.75
407.00,1187.26
408.00,1193.78
409.00,1200.40
410.00,1207.03
411.00,1213.78
412.00,1220.62
413.00,1227.51
414.00,1234.42
415.00,1241.69
416.00,1248.96
417.00,1256.37
418.00,1263.80
419.00,1271.25
420.00,1278.76
421.00,1286.37
422.00,1294.07
423.00,1301.78
424.00,1309.50
425.00,1317.26
426.00,1325.11
427.00,1333.04
428.00,1341.16
429.00,1349.37
430.00,1357.81
431.00,1366.63
432.00,1375.49
433.00,1384.38
434.00,1393.33
435.00,1402.63
436.00,1412.00
437.00,1421.43
438.00,1430.88
439.00,1440.47
440.00,1450.19
