instance,cvc5 predicates
1.00,0.02
2.00,0.05
3.00,0.09
4.00,0.12
5.00,0.16
6.00,0.20
7.00,0.23
8.00,0.27
9.00,0.31
10.00,0.35
11.00,0.39
12.00,0.44
13.00,0.49
14.00,0.54
15.00,0.59
16.00,0.64
17.00,0.69
18.00,0.74
19.00,0.80
20.00,0.85
21.00,0.90
22.00,0.95
23.00,1.01
24.00,1.06
25.00,1.11
26.00,1.17
27.00,1.22
28.00,1.28
29.00,1.34
30.00,1.40
31.00,1.47
32.00,1.53
33.00,1.60
34.00,1.66
35.00,1.73
36.00,1.80
37.00,1.87
38.00,1.94
39.00,2.01
40.00,2.08
41.00,2.16
42.00,2.23
43.00,2.31
44.00,2.39
45.00,2.47
46.00,2.55
47.00,2.64
48.00,2.72
49.00,2.81
50.00,2.89
51.00,2.99
52.00,3.09
53.00,3.19
54.00,3.30
55.00,3.42
56.00,3.55
57.00,3.69
58.00,3.86
59.00,4.05
60.00,4.25
61.00,4.45
62.00,4.66
63.00,4.88
64.00,5.10
65.00,5.32
66.00,5.55
67.00,5.77
68.00,6.00
69.00,6.22
70.00,6.45
71.00,6.68
72.00,6.91
73.00,7.17
