instance,cvc5 predicate mbqi
1.00,0.02
2.00,0.04
3.00,0.05
4.00,0.07
5.00,0.09
6.00,0.11
7.00,0.13
8.00,0.15
9.00,0.17
10.00,0.20
11.00,0.22
12.00,0.25
13.00,0.28
14.00,0.31
15.00,0.34
16.00,0.37
17.00,0.41
18.00,0.44
19.00,0.47
20.00,0.51
21.00,0.54
22.00,0.58
23.00,0.62
24.00,0.66
25.00,0.70
26.00,0.74
27.00,0.78
28.00,0.82
29.00,0.86
30.00,0.90
31.00,0.94
32.00,0.99
33.00,1.04
34.00,1.09
35.00,1.14
36.00,1.19
37.00,1.24
38.00,1.29
39.00,1.34
40.00,1.39
41.00,1.45
42.00,1.50
43.00,1.55
44.00,1.60
45.00,1.66
46.00,1.71
47.00,1.76
48.00,1.82
49.00,1.87
50.00,1.92
51.00,1.98
52.00,2.03
53.00,2.09
54.00,2.14
55.00,2.20
56.00,2.25
57.00,2.31
58.00,2.36
59.00,2.42
60.00,2.47
61.00,2.53
62.00,2.59
63.00,2.65
64.00,2.70
65.00,2.76
66.00,2.82
67.00,2.88
68.00,2.94
69.00,3.00
70.00,3.07
71.00,3.13
72.00,3.19
73.00,3.25
74.00,3.32
75.00,3.38
76.00,3.45
77.00,3.51
78.00,3.58
79.00,3.64
80.00,3.71
81.00,3.78
82.00,3.84
83.00,3.91
84.00,3.97
85.00,4.04
86.00,4.11
87.00,4.17
88.00,4.24
89.00,4.31
90.00,4.37
91.00,4.44
92.00,4.51
93.00,4.58
94.00,4.64
95.00,4.71
96.00,4.78
97.00,4.84
98.00,4.91
99.00,4.98
100.00,5.05
101.00,5.12
102.00,5.19
103.00,5.25
104.00,5.32
105.00,5.39
106.00,5.47
107.00,5.54
108.00,5.61
109.00,5.68
110.00,5.75
111.00,5.83
112.00,5.90
113.00,5.97
114.00,6.05
115.00,6.12
116.00,6.19
117.00,6.27
118.00,6.34
119.00,6.42
120.00,6.49
121.00,6.57
122.00,6.64
123.00,6.72
124.00,6.79
125.00,6.87
126.00,6.94
127.00,7.02
128.00,7.09
129.00,7.17
130.00,7.25
131.00,7.32
132.00,7.40
133.00,7.48
134.00,7.56
135.00,7.63
136.00,7.71
137.00,7.79
138.00,7.87
139.00,7.95
140.00,8.03
141.00,8.11
142.00,8.19
143.00,8.27
144.00,8.35
145.00,8.43
146.00,8.51
147.00,8.59
148.00,8.67
149.00,8.75
150.00,8.83
151.00,8.92
152.00,9.00
153.00,9.08
154.00,9.16
155.00,9.25
156.00,9.33
157.00,9.41
158.00,9.50
159.00,9.58
160.00,9.67
161.00,9.76
162.00,9.84
163.00,9.93
164.00,10.02
165.00,10.11
166.00,10.20
167.00,10.29
168.00,10.38
169.00,10.47
170.00,10.57
171.00,10.66
172.00,10.75
173.00,10.84
174.00,10.94
175.00,11.03
176.00,11.12
177.00,11.22
178.00,11.31
179.00,11.41
180.00,11.50
181.00,11.59
182.00,11.69
183.00,11.78
184.00,11.88
185.00,11.98
186.00,12.08
187.00,12.18
188.00,12.28
189.00,12.38
190.00,12.49
191.00,12.59
192.00,12.69
193.00,12.80
194.00,12.90
195.00,13.01
196.00,13.12
197.00,13.23
198.00,13.33
199.00,13.44
200.00,13.55
201.00,13.67
202.00,13.79
203.00,13.91
204.00,14.03
205.00,14.15
206.00,14.26
207.00,14.38
208.00,14.50
209.00,14.62
210.00,14.74
211.00,14.87
212.00,14.99
213.00,15.11
214.00,15.23
215.00,15.35
216.00,15.47
217.00,15.60
218.00,15.72
219.00,15.84
220.00,15.96
221.00,16.09
222.00,16.21
223.00,16.34
224.00,16.46
225.00,16.59
226.00,16.72
227.00,16.85
228.00,16.98
229.00,17.11
230.00,17.24
231.00,17.37
232.00,17.51
233.00,17.64
234.00,17.77
235.00,17.90
236.00,18.04
237.00,18.17
238.00,18.30
239.00,18.44
240.00,18.57
241.00,18.70
242.00,18.84
243.00,18.97
244.00,19.11
245.00,19.24
246.00,19.38
247.00,19.51
248.00,19.65
249.00,19.78
250.00,19.92
251.00,20.06
252.00,20.20
253.00,20.35
254.00,20.49
255.00,20.63
256.00,20.77
257.00,20.91
258.00,21.05
259.00,21.20
260.00,21.34
261.00,21.48
262.00,21.62
263.00,21.77
264.00,21.91
265.00,22.06
266.00,22.20
267.00,22.35
268.00,22.49
269.00,22.64
270.00,22.78
271.00,22.93
272.00,23.10
273.00,23.28
274.00,23.46
275.00,23.64
276.00,23.82
277.00,23.99
278.00,24.17
279.00,24.35
280.00,24.53
281.00,24.71
282.00,24.89
283.00,25.07
284.00,25.25
285.00,25.43
286.00,25.61
287.00,25.79
288.00,25.97
289.00,26.15
290.00,26.33
291.00,26.51
292.00,26.69
293.00,26.88
294.00,27.06
295.00,27.24
296.00,27.42
297.00,27.60
298.00,27.78
299.00,27.97
300.00,28.15
301.00,28.33
302.00,28.51
303.00,28.70
304.00,28.88
305.00,29.07
306.00,29.25
307.00,29.44
308.00,29.63
309.00,29.83
310.00,30.03
311.00,30.25
312.00,30.47
313.00,30.69
314.00,30.91
315.00,31.14
316.00,31.36
317.00,31.59
318.00,31.82
319.00,32.04
320.00,32.28
321.00,32.51
322.00,32.77
