file, mode, rule, result, duration
test_files/test2.sleec, redundancy, 0, sat, 0.016311168670654297
test_files/test2.sleec, redundancy, 1, sat, 0.011513710021972656
test_files/test2.sleec, redundancy, 2, sat, 0.03223443031311035
test_files/test2.sleec, conflict, 0, sat, 0.03829026222229004
test_files/test2.sleec, conflict, 1, sat, 0.01739954948425293
test_files/test2.sleec, conflict, 2, sat, 0.03664898872375488
test_files/buggy.sleec, redundancy, 0, unsat, 0.054549217224121094
test_files/buggy.sleec, redundancy, 1, sat, 0.06086540222167969
test_files/buggy.sleec, redundancy, 2, sat, 0.03405451774597168
test_files/buggy.sleec, redundancy, 3, sat, 0.06489157676696777
test_files/buggy.sleec, redundancy, 4, sat, 0.05698394775390625
test_files/buggy.sleec, redundancy, 5, unsat, 0.013468265533447266
test_files/buggy.sleec, redundancy, 6, unsat, 0.02997136116027832
test_files/buggy.sleec, redundancy, 7, sat, 0.013335704803466797
test_files/buggy.sleec, redundancy, 8, sat, 0.014971256256103516
test_files/buggy.sleec, redundancy, 9, sat, 0.02186751365661621
test_files/buggy.sleec, redundancy, 10, sat, 0.05775642395019531
test_files/buggy.sleec, redundancy, 11, sat, 0.01933002471923828
test_files/buggy.sleec, conflict, 0, sat, 0.4347710609436035
test_files/buggy.sleec, conflict, 1, sat, 0.48391056060791016
test_files/buggy.sleec, conflict, 2, sat, 2.9489963054656982
test_files/buggy.sleec, conflict, 3, sat, 2.8810861110687256
test_files/buggy.sleec, conflict, 4, sat, 0.3677515983581543
test_files/buggy.sleec, conflict, 5, sat, 0.3758118152618408
test_files/buggy.sleec, conflict, 6, sat, 0.37923336029052734
test_files/buggy.sleec, conflict, 7, sat, 0.018061161041259766
test_files/buggy.sleec, conflict, 8, sat, 0.025270938873291016
test_files/buggy.sleec, conflict, 9, sat, 0.030584096908569336
test_files/buggy.sleec, conflict, 10, sat, 0.498004674911499
test_files/buggy.sleec, conflict, 11, sat, 0.026904582977294922
test_files/buggy.sleec, conflict, 0, sat, 0.4518105983734131
test_files/test1.sleec, redundancy, 0, sat, 0.015355825424194336
test_files/test1.sleec, redundancy, 1, sat, 0.00679469108581543
test_files/test1.sleec, redundancy, 2, unsat, 0.012949466705322266
test_files/test1.sleec, redundancy, 3, sat, 0.024137496948242188
test_files/test1.sleec, conflict, 0, sat, 0.024881601333618164
test_files/test1.sleec, conflict, 1, sat, 0.009883880615234375
test_files/test1.sleec, conflict, 2, sat, 0.027440309524536133
test_files/test1.sleec, conflict, 3, sat, 0.024192333221435547
test_files/test.sleec, redundancy, 0, unsat, 0.313448429107666
test_files/test.sleec, redundancy, 1, unsat, 0.011120319366455078
test_files/test.sleec, redundancy, 2, unsat, 0.008908510208129883
test_files/test.sleec, redundancy, 3, sat, 0.018383026123046875
test_files/test.sleec, redundancy, 4, unsat, 0.016128063201904297
test_files/test.sleec, redundancy, 5, unsat, 0.03867626190185547
test_files/test.sleec, redundancy, 6, unsat, 0.8668439388275146
test_files/test.sleec, redundancy, 7, unsat, 0.01558685302734375
test_files/test.sleec, redundancy, 8, unsat, 0.02248692512512207
test_files/test.sleec, redundancy, 9, unsat, 0.039128780364990234
test_files/test.sleec, redundancy, 10, unsat, 0.034635305404663086
test_files/test.sleec, redundancy, 11, sat, 0.07420730590820312
test_files/test.sleec, redundancy, 12, unsat, 0.046230316162109375
test_files/test.sleec, redundancy, 13, sat, 0.04194068908691406
