file,mode,rule,result,duration
test_files_filters/test2.sleec,redundancy,0,sat,0.5139975547790527
test_files_filters/test2.sleec,redundancy,1,sat,0.14403319358825684
test_files_filters/test2.sleec,redundancy,2,unknown (TIMEOUT),20.007829427719116
test_files_filters/test2.sleec,conflict,0,unknown (TIMEOUT),23.66486620903015
test_files_filters/test2.sleec,conflict,1,unknown (TIMEOUT),20.041317224502563
test_files_filters/test2.sleec,conflict,2,unknown (TIMEOUT),23.820188760757446
test_files_filters/buggy.sleec,redundancy,0,unknown (TIMEOUT),20.021284818649292
test_files_filters/buggy.sleec,redundancy,1,unknown (TIMEOUT),20.008788108825684
test_files_filters/buggy.sleec,redundancy,2,unknown (TIMEOUT),20.05821442604065
test_files_filters/buggy.sleec,redundancy,3,unknown (TIMEOUT),21.183977365493774
test_files_filters/buggy.sleec,redundancy,4,unknown (TIMEOUT),20.23749327659607
test_files_filters/buggy.sleec,redundancy,5,unknown (TIMEOUT),25.213900804519653
test_files_filters/buggy.sleec,redundancy,6,unknown (TIMEOUT),21.92971396446228
test_files_filters/buggy.sleec,redundancy,7,sat,0.20517635345458984
test_files_filters/buggy.sleec,redundancy,8,sat,0.7589387893676758
test_files_filters/buggy.sleec,redundancy,9,sat,0.2826676368713379
test_files_filters/buggy.sleec,redundancy,10,unknown (TIMEOUT),20.596696138381958
test_files_filters/buggy.sleec,redundancy,11,unknown (TIMEOUT),20.00363326072693
test_files_filters/buggy.sleec,conflict,0,unknown (TIMEOUT),20.93906879425049
test_files_filters/buggy.sleec,conflict,1,unknown (TIMEOUT),21.528027057647705
test_files_filters/buggy.sleec,conflict,2,unknown (TIMEOUT),20.233309984207153
test_files_filters/buggy.sleec,conflict,3,unknown (TIMEOUT),20.181227207183838
test_files_filters/buggy.sleec,conflict,4,unknown (TIMEOUT),27.644803047180176
test_files_filters/buggy.sleec,conflict,5,unknown (TIMEOUT),29.045501232147217
test_files_filters/buggy.sleec,conflict,6,unknown (TIMEOUT),29.351194381713867
test_files_filters/buggy.sleec,conflict,7,unknown (TIMEOUT),20.005476474761963
test_files_filters/buggy.sleec,conflict,8,sat,2.295604944229126
test_files_filters/buggy.sleec,conflict,9,unknown (TIMEOUT),20.066807508468628
test_files_filters/buggy.sleec,conflict,10,unknown (TIMEOUT),20.007798433303833
test_files_filters/buggy.sleec,conflict,11,unknown (TIMEOUT),20.015207767486572
test_files_filters/buggy.sleec,concern,0,unknown (TIMEOUT),21.039618968963623
test_files_filters/test1.sleec,redundancy,0,sat,1.101006269454956
test_files_filters/test1.sleec,redundancy,1,sat,0.14687824249267578
test_files_filters/test1.sleec,redundancy,2,unsat,1.1214370727539062
test_files_filters/test1.sleec,redundancy,3,unknown (TIMEOUT),20.002267122268677
test_files_filters/test1.sleec,conflict,0,unknown (TIMEOUT),20.010233163833618
test_files_filters/test1.sleec,conflict,1,unknown (TIMEOUT),20.008589506149292
test_files_filters/test1.sleec,conflict,2,unknown (TIMEOUT),20.023435831069946
test_files_filters/test1.sleec,conflict,3,unknown (TIMEOUT),20.00788974761963
test_files_filters/test.sleec,redundancy,0,unsat,4.686538219451904
test_files_filters/test.sleec,redundancy,1,unsat,1.1674299240112305
test_files_filters/test.sleec,redundancy,2,unsat,1.1938438415527344
test_files_filters/test.sleec,redundancy,3,sat,0.9377920627593994
test_files_filters/test.sleec,redundancy,4,unsat,0.4948408603668213
test_files_filters/test.sleec,redundancy,5,unknown (TIMEOUT),26.135767936706543
test_files_filters/test.sleec,redundancy,6,unknown (TIMEOUT),24.01978874206543
test_files_filters/test.sleec,redundancy,7,unknown (TIMEOUT),24.044286966323853
test_files_filters/test.sleec,redundancy,8,unknown (TIMEOUT),20.041735887527466
test_files_filters/test.sleec,redundancy,9,unknown (TIMEOUT),21.660221576690674
test_files_filters/test.sleec,redundancy,10,unknown (TIMEOUT),20.826557636260986
test_files_filters/test.sleec,redundancy,11,unknown (TIMEOUT),24.82223343849182
test_files_filters/test.sleec,redundancy,12,unknown (TIMEOUT),22.10986089706421
test_files_filters/test.sleec,redundancy,13,sat,3.8168797492980957
test_files_filters/test.sleec,redundancy,14,unsat,1.4400088787078857
test_files_filters/test.sleec,redundancy,15,sat,3.9393060207366943
test_files_filters/test.sleec,redundancy,16,unknown (TIMEOUT),20.00319790840149
test_files_filters/test.sleec,redundancy,17,unknown (TIMEOUT),20.00199055671692
test_files_filters/test.sleec,redundancy,18,sat,0.9443166255950928
test_files_filters/test.sleec,redundancy,19,unknown (TIMEOUT),20.610439777374268
test_files_filters/test.sleec,redundancy,20,unknown (TIMEOUT),20.045676708221436
test_files_filters/test.sleec,conflict,0,unknown (TIMEOUT),20.254775524139404
test_files_filters/test.sleec,conflict,1,unknown (TIMEOUT),20.089056730270386
test_files_filters/test.sleec,conflict,2,unknown (TIMEOUT),20.007829666137695
test_files_filters/test.sleec,conflict,3,unknown (TIMEOUT),50.47952961921692
test_files_filters/test.sleec,conflict,4,unknown (TIMEOUT),48.21430444717407
test_files_filters/test.sleec,conflict,5,unknown (TIMEOUT),20.219149351119995
test_files_filters/test.sleec,conflict,6,unknown (TIMEOUT),24.74221706390381
test_files_filters/test.sleec,conflict,7,unknown (TIMEOUT),24.49447751045227
test_files_filters/test.sleec,conflict,8,unknown (TIMEOUT),25.185321807861328
test_files_filters/test.sleec,conflict,9,unknown (TIMEOUT),25.608803272247314
test_files_filters/test.sleec,conflict,10,unknown (TIMEOUT),25.986526012420654
test_files_filters/test.sleec,conflict,11,unknown (TIMEOUT),25.522276639938354
test_files_filters/test.sleec,conflict,12,unknown (TIMEOUT),25.073963403701782
test_files_filters/test.sleec,conflict,13,sat,11.668138265609741
test_files_filters/test.sleec,conflict,14,sat,6.636178493499756
test_files_filters/test.sleec,conflict,15,sat,5.909404754638672
test_files_filters/test.sleec,conflict,16,sat,5.703061580657959
test_files_filters/test.sleec,conflict,17,unknown (TIMEOUT),20.034602642059326
test_files_filters/test.sleec,conflict,18,unknown (TIMEOUT),20.004695177078247
test_files_filters/test.sleec,conflict,19,unknown (TIMEOUT),20.05858087539673
test_files_filters/test.sleec,conflict,20,unknown (TIMEOUT),20.02233648300171
test_files_filters/test4.sleec,redundancy,0,sat,0.20598888397216797
test_files_filters/test4.sleec,redundancy,1,sat,0.1927661895751953
test_files_filters/test4.sleec,redundancy,2,sat,0.14316773414611816
test_files_filters/test4.sleec,conflict,0,sat,4.501574516296387
test_files_filters/test4.sleec,conflict,1,unknown (TIMEOUT),20.011399030685425
test_files_filters/test4.sleec,conflict,2,unknown (TIMEOUT),20.0247802734375
test_files_filters/test4.sleec,concern,0,unknown (TIMEOUT),20.00984025001526
